NAMESPACE     NAME                                                 TYPE        CLUSTER-IP       EXTERNAL-IP   PORT(S)                        AGE
default       apache-service                                       NodePort    10.107.156.106   <none>        80:32370/TCP                   2d22h
default       kubernetes                                           ClusterIP   10.96.0.1        <none>        443/TCP                        2d23h
default       mysql-service                                        ClusterIP   10.110.199.239   <none>        3306/TCP                       2d20h
default       nginx-app                                            NodePort    10.101.160.236   <none>        80:31679/TCP                   2d23h
default       nodejs-api-service                                   NodePort    10.102.250.37    <none>        5678:30082/TCP                 2d22h
default       redis-service                                        ClusterIP   10.101.248.44    <none>        6379/TCP                       2d20h
kube-system   kube-dns                                             ClusterIP   10.96.0.10       <none>        53/UDP,53/TCP,9153/TCP         2d23h
kube-system   monitoring-kube-prometheus-coredns                   ClusterIP   None             <none>        9153/TCP                       2d20h
kube-system   monitoring-kube-prometheus-kube-controller-manager   ClusterIP   None             <none>        10257/TCP                      2d20h
kube-system   monitoring-kube-prometheus-kube-etcd                 ClusterIP   None             <none>        2381/TCP                       2d20h
kube-system   monitoring-kube-prometheus-kube-proxy                ClusterIP   None             <none>        10249/TCP                      2d20h
kube-system   monitoring-kube-prometheus-kube-scheduler            ClusterIP   None             <none>        10259/TCP                      2d20h
kube-system   monitoring-kube-prometheus-kubelet                   ClusterIP   None             <none>        10250/TCP,4194/TCP,10255/TCP   2d20h
monitoring    alertmanager-operated                                ClusterIP   None             <none>        9093/TCP,9094/TCP,9094/UDP     2d20h
monitoring    monitoring-grafana                                   NodePort    10.105.17.59     <none>        80:30451/TCP                   2d20h
monitoring    monitoring-kube-prometheus-alertmanager              ClusterIP   10.101.29.6      <none>        9093/TCP,8080/TCP              2d20h
monitoring    monitoring-kube-prometheus-operator                  ClusterIP   10.111.56.27     <none>        443/TCP                        2d20h
monitoring    monitoring-kube-prometheus-prometheus                ClusterIP   10.109.178.154   <none>        9090/TCP,8080/TCP              2d20h
monitoring    monitoring-kube-state-metrics                        ClusterIP   10.110.7.58      <none>        8080/TCP                       2d20h
monitoring    monitoring-prometheus-node-exporter                  ClusterIP   10.104.48.207    <none>        9100/TCP                       2d20h
monitoring    prometheus-operated                                  ClusterIP   None             <none>        9090/TCP                       2d20h
